timebounds,landuse_erf
1850.0,0.0
1851.0,-0.0005570085737194132
1852.0,-0.001105313699814114
1853.0,-0.001715725098484605
1854.0,-0.0023238588592329303
1855.0,-0.0029298961833606365
1856.0,-0.0035326286579159187
1857.0,-0.00414197526971832
1858.0,-0.004757236214663804
1859.0,-0.005377680299754172
1860.0,-0.006006602369717239
1861.0,-0.006640535042166035
1862.0,-0.007286870940147431
1863.0,-0.007866545606228252
1864.0,-0.008446417282214009
1865.0,-0.009026673688074716
1866.0,-0.009607782498577879
1867.0,-0.010189042036291226
1868.0,-0.010768627905983642
1869.0,-0.011346594257849778
1870.0,-0.011922737751963168
1871.0,-0.012497663010845627
1872.0,-0.013094916305000735
1873.0,-0.013786856830645237
1874.0,-0.014490946012262711
1875.0,-0.015203083859460263
1876.0,-0.01592393704310631
1877.0,-0.016653346272278817
1878.0,-0.01739013083492418
1879.0,-0.018134554520632524
1880.0,-0.01888677013848915
1881.0,-0.019645904885658844
1882.0,-0.02044690468694517
1883.0,-0.02119442412161592
1884.0,-0.021949786352375766
1885.0,-0.022708728359060314
1886.0,-0.023474520893399454
1887.0,-0.02424150072941251
1888.0,-0.025008425753912763
1889.0,-0.025774967607387844
1890.0,-0.02654096567862105
1891.0,-0.027303321064529727
1892.0,-0.028061961421420614
1893.0,-0.0288366964722862
1894.0,-0.02961229811986887
1895.0,-0.030405489057348523
1896.0,-0.0312046254244477
1897.0,-0.03200652815801263
1898.0,-0.032811132734692085
1899.0,-0.03361850656754815
1900.0,-0.03442607946618343
1901.0,-0.035235887237852315
1902.0,-0.0361192233184001
1903.0,-0.03700629747337479
1904.0,-0.03792584110455966
1905.0,-0.03887479090208242
1906.0,-0.039853658324757506
1907.0,-0.04086672770575904
1908.0,-0.04188982987419157
1909.0,-0.042923330958474754
1910.0,-0.04396468603748157
1911.0,-0.04501283384949683
1912.0,-0.04599648233062311
1913.0,-0.04693960142023398
1914.0,-0.047848922126763525
1915.0,-0.04874589021943803
1916.0,-0.04962977570151089
1917.0,-0.05051621979784675
1918.0,-0.05140602844629787
1919.0,-0.05229948422249369
1920.0,-0.0531986189522073
1921.0,-0.05410036887147796
1922.0,-0.055055081822330695
1923.0,-0.056001004568862395
1924.0,-0.056955922668963085
1925.0,-0.0579176898351433
1926.0,-0.05888298615015484
1927.0,-0.0598532051092585
1928.0,-0.0608672381243801
1929.0,-0.06188509161755831
1930.0,-0.06293317778831928
1931.0,-0.06406690820200862
1932.0,-0.06521208831528141
1933.0,-0.06624847869853862
1934.0,-0.06728134006847736
1935.0,-0.06830115314419341
1936.0,-0.06931947485817141
1937.0,-0.07034709106218591
1938.0,-0.07134970835815097
1939.0,-0.07235543493072655
1940.0,-0.07335956364734773
1941.0,-0.07434992932498105
1942.0,-0.07532102755869968
1943.0,-0.0763156617834654
1944.0,-0.07730454347421795
1945.0,-0.07830029106653569
1946.0,-0.07929659645620743
1947.0,-0.08038615057684342
1948.0,-0.08150972129998173
1949.0,-0.08264233004701764
1950.0,-0.08378651123953959
1951.0,-0.08494532991353855
1952.0,-0.08634618460485032
1953.0,-0.08777776593099412
1954.0,-0.08920619250200634
1955.0,-0.0906944986371753
1956.0,-0.09223283766525657
1957.0,-0.0938359803480018
1958.0,-0.0954737190000927
1959.0,-0.09716810285398204
1960.0,-0.09880160022908613
1961.0,-0.10042163123430319
1962.0,-0.10211885368464535
1963.0,-0.10380451103276818
1964.0,-0.10549735630842216
1965.0,-0.10718027399882364
1966.0,-0.10889772816871594
1967.0,-0.1106177926719742
1968.0,-0.11238674022879945
1969.0,-0.11410151496663508
1970.0,-0.11581264932368733
1971.0,-0.11751072624644297
1972.0,-0.1190687221551556
1973.0,-0.1205395744108432
1974.0,-0.12200094772366049
1975.0,-0.12343146531003908
1976.0,-0.12487601148342098
1977.0,-0.12633940185689654
1978.0,-0.12783814380822311
1979.0,-0.12927836360499126
1980.0,-0.1306665033968884
1981.0,-0.1320455739578954
1982.0,-0.13343426343375944
1983.0,-0.1348288631213962
1984.0,-0.13641730826103932
1985.0,-0.13803701262798304
1986.0,-0.1396994135528709
1987.0,-0.14139547807330696
1988.0,-0.14307555395527413
1989.0,-0.14475497079322766
1990.0,-0.1464532703180256
1991.0,-0.14805509753380777
1992.0,-0.1498694859646372
1993.0,-0.15173508173822067
1994.0,-0.1534495620025026
1995.0,-0.15511636672115692
1996.0,-0.15676362249961956
1997.0,-0.15839326875957038
1998.0,-0.16081337761284334
1999.0,-0.16252178115351096
2000.0,-0.16396657729271386
2001.0,-0.16529820840981102
2002.0,-0.16636432431391904
2003.0,-0.16755109618150524
2004.0,-0.16854986204647465
2005.0,-0.16970067630852725
2006.0,-0.17083757278548994
2007.0,-0.17204871996490242
2008.0,-0.17311972401908918
2009.0,-0.17386054768793333
2010.0,-0.17469728089411282
2011.0,-0.17567838699706012
2012.0,-0.17669113342377907
2013.0,-0.17776710016146383
2014.0,-0.17878539222949555
2015.0,-0.18
